"cat01_code","男女別人口総数及び世帯総数","cat02_code","秘匿地域・合算地域有り","area_code","新潟県","unit","value"
"0010","人口総数","1","無し","151020360","新潟市東区材木町","人","69"
"0010","人口総数","1","無し","151020370","新潟市東区猿ケ馬場","人","0"
"0010","人口総数","1","無し","151020380","新潟市東区猿ケ馬場","人","639"
"0010","人口総数","1","無し","15102038001","新潟市東区猿ケ馬場１丁目","人","239"
"0010","人口総数","1","無し","15102038002","新潟市東区猿ケ馬場２丁目","人","400"
"0010","人口総数","1","無し","151020390","新潟市東区紫竹山","人","3"
"0010","人口総数","1","無し","15102039003","新潟市東区紫竹山３丁目","人","3"
"0010","人口総数","1","無し","15102039004","新潟市東区紫竹山４丁目","人","0"
"0010","人口総数","1","無し","151020400","新潟市東区紫竹","人","5836"
"0010","人口総数","1","無し","15102040002","新潟市東区紫竹２丁目","人","506"
"0010","人口総数","1","無し","15102040003","新潟市東区紫竹３丁目","人","975"
"0010","人口総数","1","無し","15102040004","新潟市東区紫竹４丁目","人","791"
"0010","人口総数","1","無し","15102040005","新潟市東区紫竹５丁目","人","1074"
"0010","人口総数","1","無し","15102040006","新潟市東区紫竹６丁目","人","1173"
"0010","人口総数","1","無し","15102040007","新潟市東区紫竹７丁目","人","1317"
"0010","人口総数","1","無し","151020410","新潟市東区下木戸","人","5"
"0010","人口総数","1","無し","151020420","新潟市東区下木戸","人","1198"
"0010","人口総数","1","無し","15102042001","新潟市東区下木戸１丁目","人","292"
"0010","人口総数","1","無し","15102042002","新潟市東区下木戸２丁目","人","897"
"0010","人口総数","1","無し","15102042003","新潟市東区下木戸３丁目","人","9"
"0010","人口総数","1","無し","151020430","新潟市東区新石山","人","3713"
"0010","人口総数","1","無し","15102043001","新潟市東区新石山１丁目","人","770"
"0010","人口総数","1","無し","15102043002","新潟市東区新石山２丁目","人","1009"
"0010","人口総数","1","無し","15102043003","新潟市東区新石山３丁目","人","925"
"0010","人口総数","1","無し","15102043004","新潟市東区新石山４丁目","人","503"
"0010","人口総数","1","無し","15102043005","新潟市東区新石山５丁目","人","506"
"0010","人口総数","1","無し","151020440","新潟市東区新岡山","人","1045"
"0010","人口総数","1","無し","151020450","新潟市東区神明町","人","506"
"0010","人口総数","1","無し","151020460","新潟市東区新川町","人","400"
"0010","人口総数","1","無し","151020470","新潟市東区下山","人","533"
"0010","人口総数","1","無し","15102047001","新潟市東区下山１丁目","人","66"
